title,location,size,selling price
6 Bed Villa with En Suite at Kiambu Road,Kiambu Road,"6bdrm Mansion in Mushroom Estate, Kiambu / Kiam...","KSh 130,000,000"
4 Bed Townhouse with En Suite at Off Kiambu Road,"Off Kiambu Road, Kiambu Road",4 Bedroom with DSQ for Sale,"KSh 26,950,000"
4 Bed Villa with En Suite at Masai Lodge Road,"masai lodge road, Ongata Rongai",New modern villa for sale.,"KSh 16,000,000"
5 Bed House with En Suite in Ngong Road,Ngong Road,5 Bedroom Town House For Sale In Kilimani,"KSh 45,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern 5 Bedroom Townhouse For Sale,"KSh 72,000,000"
5 Bed Townhouse with En Suite at Grevallia,"grevallia, Spring Valley, Westlands",5 Bedroom Townhouse For Sale,"KSh 46,000,000"
5 Bed House with En Suite in Lavington,Lavington,Rustic 5 Bedroom house For Sale on 1/4 of an ac...,"KSh 85,000,000"
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,5 Bedroom Town House For sale,"KSh 50,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern 5 Bedroom Town House Plus Dsq,"KSh 75,000,000"
5 Bed House with En Suite at Rusinga Court,"Rusinga Court, Lavington",5 BEDROOM ALL ENSUITE FOR SALE IN LAVINGTON,"KSh 500,000,000"
4 Bed House with En Suite in Muthaiga,Muthaiga,House for sale in Muthaiga North,"KSh 140,000,000"
4 Bed House with Alarm in Kiserian,Kiserian,4 Bedroom standalone house in Kiserian,"KSh 15,000,000"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,"4br Townhouse, Kiambu Road","KSh 60,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON WITH...,"KSh 50,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON WITH...,"KSh 55,000,000"
4 Bed House with En Suite in Loresho,"Loresho, Westlands",4 Bedroom All En Suite + Dsq House For Sale in...,"KSh 85,000,000"
3 Bed House with En Suite at Maanzoni,"Maanzoni, Machakos County",3 Bedroom Main House With Optional Upper Floor...,Price not communicated
6 Bed Villa with En Suite at Kiambu Road,Kiambu Road,"6bdrm Mansion in Mushroom Estate, Kiambu / Kiam...","KSh 130,000,000"
4 Bed House with En Suite at Maanzoni,"1, Maanzoni, Athi River","Amazing Holiday Home on Sale in Maanzoni, Off M...","KSh 427,000,000"
5 Bed House with En Suite in Gikambura,"Gikambura, Kikuyu",Modern Five Bedroom plus dsq House.,"KSh 65,000,000"
3 Bed House with Garden in Ngumo Estate,Ngumo Estate,3 Bedroom Massionette plus dsq For Sale,"KSh 15,000,000"
5 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",Townhouse for sale in Brookside,"KSh 55,000,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4 Bedroom All En Suite+ dsq Townhouse For sale...,"KSh 85,000,000"
4 Bed Townhouse with Swimming Pool in Westlands Area,"Grivelia grove westland, Westlands Area, Westlands",A 4bdrm townhouse for sale in Westland.,"KSh 48,000,000"
5 Bed House with Swimming Pool in Nyari,"Nyari central Nairobi, Nyari, Westlands",A 5bdrm family house for sale in nyari central.,"KSh 130,000,000"
